Id,Prediction
0,False
1,False
2,False
3,True
4,False
5,False
6,False
7,True
8,False
9,False
10,True
11,True
12,False
13,False
14,False
15,True
16,False
17,False
18,False
19,True
20,True
21,False
22,False
23,False
24,False
25,True
26,False
27,False
28,False
29,False
30,True
31,False
32,False
33,False
34,False
35,False
36,True
37,False
38,False
39,False
40,True
41,True
42,False
43,False
44,False
45,True
46,False
47,True
48,False
49,False
50,False
51,False
52,False
53,True
54,False
55,False
56,False
57,True
58,True
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,True
67,False
68,False
69,False
70,True
71,True
72,False
73,False
74,True
75,False
76,False
77,False
78,False
79,False
80,True
81,False
82,False
83,True
84,False
85,False
86,False
87,False
88,False
89,True
90,False
91,False
92,True
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,False
119,False
120,True
121,False
122,False
123,False
124,False
125,False
126,True
127,False
128,False
129,True
130,True
131,False
132,False
133,True
134,False
135,False
136,False
137,False
138,False
139,False
140,True
141,False
142,True
143,True
144,False
145,False
146,False
147,False
148,True
149,False
150,False
151,False
152,False
153,False
154,True
155,False
156,False
157,False
158,False
159,False
160,False
161,False
162,False
163,False
164,True
165,False
166,True
167,False
168,False
169,False
170,True
171,False
172,False
173,False
174,False
175,True
176,False
177,True
178,False
179,True
180,False
181,True
182,False
183,False
184,False
185,False
186,False
187,False
188,False
189,False
190,True
191,False
192,False
193,False
194,False
195,False
196,False
197,True
198,False
199,False
200,True
201,False
202,False
203,False
204,True
205,True
206,False
207,False
208,True
209,False
210,False
211,False
212,False
213,True
214,False
215,False
216,False
217,False
218,False
219,False
220,True
221,False
222,False
223,False
224,True
225,True
226,True
227,False
228,False
229,True
230,False
231,True
232,True
233,False
234,False
235,False
236,True
237,False
238,False
239,False
240,False
241,False
242,False
243,False
244,False
245,False
246,False
247,False
248,False
249,False
250,False
251,False
252,False
253,False
254,False
255,False
256,False
257,False
